id,web_name,team,element_type,now_cost,total_points,form,ict_index,influence,creativity,threat,minutes,expected_goals,expected_assists,expected_goal_involvements,saves,clean_sheets,next_3_gw_fixtures
40,Hause,2,2,3.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
41,Iling Jr,2,3,5.4,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
42,Kamara,2,3,5.0,34,2.0,41.3,237.4,133.7,40.0,1195,0.36,0.35,0.71,0,3,2.6666666666666665
43,Kesler-Hayden,2,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
44,Konsa,2,2,4.4,66,3.5,59.1,400.8,85.0,105.0,2306,0.72,0.42,1.14,0,4,2.6666666666666665
45,Maatsen,2,2,4.5,29,2.5,55.4,175.4,245.8,132.0,694,0.36,2.10,2.46,0,0,2.6666666666666665
46,Marschall,2,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
47,Martinez,2,1,5.0,80,3.5,68.0,669.4,10.0,0.0,2610,0.00,0.01,0.01,79,4,2.6666666666666665
48,McGinn,2,3,5.2,57,2.0,78.2,187.0,415.5,182.0,1882,2.20,2.42,4.62,0,5,2.6666666666666665
49,Mings,2,2,4.4,33,1.0,29.4,194.8,36.4,61.0,870,0.80,0.19,0.99,0,2,2.6666666666666665
50,Nedeljkovic,2,2,3.9,5,0.0,3.0,22.8,7.2,0.0,121,0.00,0.02,0.02,0,0,2.6666666666666665
51,Olsen,2,1,4.5,8,0.0,3.7,37.0,0.0,0.0,180,0.00,0.00,0.00,5,1,2.6666666666666665
52,Pau,2,2,4.2,40,4.0,44.4,292.0,56.2,94.0,1639,0.51,0.34,0.85,0,3,2.6666666666666665
53,Ramsey,2,3,5.4,56,2.0,65.0,206.6,242.5,201.0,1337,1.30,2.00,3.30,0,3,2.6666666666666665
54,Rogers,2,3,5.6,132,9.5,174.6,592.4,573.5,580.0,2514,5.73,3.83,9.56,0,6,2.6666666666666665
55,Sinisalo,2,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
56,Sousa,2,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,2.6666666666666665
57,Tielemans,2,3,5.5,94,4.5,175.2,672.6,840.9,238.0,2645,2.68,5.26,7.94,0,5,2.6666666666666665
58,Watkins,2,4,8.9,149,1.0,185.7,618.2,290.0,966.0,2138,13.61,1.57,15.18,0,7,2.6666666666666665
167,Disasi,2,2,4.2,32,1.0,29.4,166.4,75.6,51.0,822,0.37,0.37,0.74,0,3,2.6666666666666665
233,Onana,2,3,4.8,44,1.5,52.6,234.4,110.1,180.0,1164,1.85,0.26,2.11,0,2,2.6666666666666665
